Scopus-24-Analyze-Year

"Your query : (TITLE-ABS-KEY(sales AND data AND analytics prescriptive))"


Number of results : 24

"YEAR",
"2022","1"
"2021","7"
"2020","3"
"2019","3"
"2018","5"
"2017","1"
"2015","2"
"2013","1"
"2011","1"
